"","heuristic","window","cost","instance"
"1","online",0,0.79938111213829,"C5.2xlarge"
"2","full ondemand",0,1,"C5.2xlarge"
"3","Oráculo",3,0.766297457501953,"C5.2xlarge"
"4","Oráculo",6,0.758856328220958,"C5.2xlarge"
"5","Oráculo",9,0.767292609659246,"C5.2xlarge"
"6","Oráculo",12,0.78387356981066,"C5.2xlarge"
"7","Prophet",3,0.778889814144289,"C5.2xlarge"
"8","Prophet",6,0.778599894551742,"C5.2xlarge"
"9","Prophet",9,0.781037070575013,"C5.2xlarge"
"10","Prophet",12,0.781092193168081,"C5.2xlarge"
"11","FFT",3,0.783044626998878,"C5.2xlarge"
"12","FFT",6,0.874930202594465,"C5.2xlarge"
"13","FFT",9,0.980542986996538,"C5.2xlarge"
"14","FFT",12,0.980542986996538,"C5.2xlarge"
"15","XGBoost",3,0.778383612011003,"C5.2xlarge"
"16","XGBoost",6,0.800457475444147,"C5.2xlarge"
"17","XGBoost",9,0.841679917829466,"C5.2xlarge"
"18","XGBoost",12,0.873540355839481,"C5.2xlarge"
"19","online",0,0.817396653714349,"C5.xlarge"
"20","full ondemand",0,1,"C5.xlarge"
"21","Oráculo",3,0.786776819290843,"C5.xlarge"
"22","Oráculo",6,0.762541620036007,"C5.xlarge"
"23","Oráculo",9,0.761655347870514,"C5.xlarge"
"24","Oráculo",12,0.770928187625555,"C5.xlarge"
"25","Prophet",3,0.806038467687559,"C5.xlarge"
"26","Prophet",6,0.789883985235748,"C5.xlarge"
"27","Prophet",9,0.780840533570599,"C5.xlarge"
"28","Prophet",12,0.777524832998519,"C5.xlarge"
"29","FFT",3,0.834746734695296,"C5.xlarge"
"30","FFT",6,0.824910851446883,"C5.xlarge"
"31","FFT",9,0.816458247892062,"C5.xlarge"
"32","FFT",12,0.812364018045196,"C5.xlarge"
"33","XGBoost",3,0.797068003141922,"C5.xlarge"
"34","XGBoost",6,0.973328421184338,"C5.xlarge"
"35","XGBoost",9,1.10391628029834,"C5.xlarge"
"36","XGBoost",12,1.12536406670328,"C5.xlarge"
"37","online",0,0.888345188105236,"C5.large"
"38","full ondemand",0,1,"C5.large"
"39","Oráculo",3,0.831982174993573,"C5.large"
"40","Oráculo",6,0.8142364384266,"C5.large"
"41","Oráculo",9,0.815029137029737,"C5.large"
"42","Oráculo",12,0.814195732282115,"C5.large"
"43","Prophet",3,0.855936669808895,"C5.large"
"44","Prophet",6,0.860707858428314,"C5.large"
"45","Prophet",9,0.867645042420087,"C5.large"
"46","Prophet",12,0.87397163424458,"C5.large"
"47","FFT",3,0.919723198217499,"C5.large"
"48","FFT",6,0.92442582911989,"C5.large"
"49","FFT",9,0.931437998114663,"C5.large"
"50","FFT",12,0.942133001971034,"C5.large"
"51","XGBoost",3,0.862974547947553,"C5.large"
"52","XGBoost",6,0.904550518467735,"C5.large"
"53","XGBoost",9,0.957879852600908,"C5.large"
"54","XGBoost",12,0.985928528579998,"C5.large"
"55","online",0,0.797778065566492,"M5.xlarge"
"56","full ondemand",0,1,"M5.xlarge"
"57","Oráculo",3,0.754296788277955,"M5.xlarge"
"58","Oráculo",6,0.738904203359728,"M5.xlarge"
"59","Oráculo",9,0.761909827573448,"M5.xlarge"
"60","Oráculo",12,0.758542699622586,"M5.xlarge"
"61","Prophet",3,0.785220713387109,"M5.xlarge"
"62","Prophet",6,0.778879597424702,"M5.xlarge"
"63","Prophet",9,0.774027788055946,"M5.xlarge"
"64","Prophet",12,0.772561607341079,"M5.xlarge"
"65","FFT",3,0.818577480944276,"M5.xlarge"
"66","FFT",6,0.809572263746022,"M5.xlarge"
"67","FFT",9,0.803157144971509,"M5.xlarge"
"68","FFT",12,0.801566084511211,"M5.xlarge"
"69","XGBoost",3,0.763302005476208,"M5.xlarge"
"70","XGBoost",6,0.837892214904166,"M5.xlarge"
"71","XGBoost",9,1.34461259527862,"M5.xlarge"
"72","XGBoost",12,1.44470139865315,"M5.xlarge"
